candidate_id,feasible,scalar_fitness,log_loss,brier,pr_auc,roc_auc,ece,recall,precision,predicted_positive_rate,sharpness,error_ratio,false_positives,false_negatives,mean_model_bytes,mean_structural_cost,estimated_structural_cost,recall_violation,structural_violation,model_fits,trees_fitted,elapsed_seconds,failure,decision_n_trees,decision_max_depth,decision_min_samples_leaf,decision_min_samples_split,decision_row_sample_fraction,decision_feature_fraction,decision_positive_sampling_weight,decision_criterion_index
0,0,15.815510557964274,1.5334852828563756,0.15832028158503253,0.1853902953586498,0.555625,0.14143451435185186,0,0,0,0.04080800439549945,-1.6127838567197355,0,40,32949,94,252,0.1,-0.999874,5,90,0.014890974,,18,7,24,12,0.9822857906445495,0.5315970110608896,0.7390402806480971,1
1,0,15.815510557964274,0.47364389714795957,0.14009875207823785,0.2716671846616413,0.6431875,0.08236430358527128,0,0,0,0.0854981496722844,-1.6127838567197355,0,40,267394.8,858.2,10965,0.1,-0.9945175,5,645,0.069464696,,129,10,3,50,0.6776205686816033,0.5801930943898356,0.9577816005384281,0
2,0,15.815510557964274,1.0082811476927744,0.1566555640498535,0.22070342194696596,0.539125,0.13530276363636362,0,0,0,0.031224722143244534,-1.6127838567197355,0,40,104387,297,825,0.1,-0.9995875,5,275,0.038374013,,55,7,23,9,0.9977717270687425,0.45951394200208195,0.7652518418235168,0
3,1,0.46712436275943026,0.46712436275943026,0.14890367798356413,0.2694033991996121,0.6733125,0.11377312314814812,0.125,0.2631578947368421,0.07916666666666666,0.1507652768495244,-0.38021124171160603,14,35,154571.4,294.8,1692,-0.024999999999999994,-0.999154,5,180,0.04319789,,36,15,7,2,0.8740458597422949,0.6116673810065312,2.9705405755397636,1
4,0,15.815510557964274,1.4696614388623597,0.15485518856805128,0.1803441069824156,0.5201875,0.1147721689393939,0,0,0,0.08964916386207653,-1.6127838567197355,0,40,20061,57,165,0.1,-0.9999175,5,55,0.007714025,,11,13,17,15,0.7079564295288358,0.684563723096675,0.8578680637117402,0
5,1,0.48255683030485835,0.48255683030485835,0.1544986127625883,0.2878500140597706,0.63875,0.11681034066091954,0.275,0.3235294117647059,0.14166666666666666,0.18238661573927678,-0.09691001300805639,23,29,79157.6,250,464,-0.17500000000000002,-0.999768,5,290,0.03195201,,58,7,39,58,0.9610419307216455,0.44247018652902004,2.8460398076096904,0
6,1,0.5455015307616876,0.5455015307616876,0.18528813727435037,0.25712705128411517,0.6545625,0.18049687010954615,0.425,0.25757575757575757,0.275,0.2140789077926293,0.31875876262441283,49,23,272893.6,859.8,1491,-0.32499999999999996,-0.9992545,5,1065,0.141513766,,213,21,30,10,0.649868972313359,0.7612499037493311,3.882567443123976,1
7,0,15.815510557964274,1.1928071583510231,0.15684143878654958,0.2166866028708134,0.6110625,0.1439809398148148,0,0,0,0.031504879584955243,-1.6127838567197355,0,40,40858,128.4,243,0.1,-0.9998785,5,135,0.0185362,,27,16,33,2,0.9330457166368527,0.4865371986638324,1.0875814573666276,0
8,0,15.815510557964274,0.4170779234298674,0.13156666666677472,0.2830574291669963,0.71625,0.06849989166666662,0,0,0,0.08908767190923622,-1.6127838567197355,0,40,31452.8,100,375,0.1,-0.9998125,5,125,0.013102037,,25,3,2,3,0.49253411836673455,0.7152617858929737,1.4367316957683514,1
9,1,0.44791376054356247,0.44791376054356247,0.14170148148148565,0.28033786339985467,0.682,0.09005555138888893,0.125,0.2777777777777778,0.075,0.14919535559674763,-0.4101744650890492,13,35,355785.4,688.8,26625,-0.024999999999999994,-0.9866875,5,375,0.087459821,,75,13,1,13,0.9286066062372421,0.6869766788448466,2.000895501589314,0
10,1,0.733736893790056,0.733736893790056,0.1526234067904109,0.21530440685045946,0.61225,0.10231452731481482,0.125,0.23809523809523808,0.0875,0.17878675497140548,-0.3258535793890133,16,35,20255,50.8,162,-0.024999999999999994,-0.999919,5,45,0.008009508,,9,11,16,11,0.8120443284059031,0.6509628740704917,1.5967679461576596,0
11,1,0.56890025700514,0.56890025700514,0.15189392272734764,0.2533161295253753,0.588375,0.12007568257575756,0.125,0.29411764705882354,0.07083333333333333,0.15718133791047956,-0.44235914846045055,12,35,63208,105.8,3355,-0.024999999999999994,-0.9983225,5,55,0.007058359,,11,17,1,7,0.7986529517523209,0.32211161008345013,2.6497947618055084,0
12,0,15.065510557964274,0.49184241018801717,0.15813437404346484,0.2349039239693065,0.6345,0.13181818181818183,0.075,0.15789473684210525,0.07916666666666666,0.1265340516941545,-0.34933467523853623,16,37,117146.4,272.4,2739,0.02500000000000001,-0.9986305,5,165,0.015164928,,33,11,3,18,0.6557508672652921,0.2916224592514402,3.246607607856317,1
