design,seed,time,activator,repressor,complex,total_molecules
initial,11842495200307133822,65.000000000,0.000000000,1111.000000000,229.000000000,1348.000000000
initial,11842495200307133822,66.000000000,0.000000000,929.000000000,240.000000000,1179.000000000
initial,11842495200307133822,67.000000000,0.000000000,807.000000000,211.000000000,1023.000000000
initial,11842495200307133822,68.000000000,0.000000000,647.000000000,228.000000000,879.000000000
initial,11842495200307133822,69.000000000,0.000000000,504.000000000,234.000000000,744.000000000
initial,11842495200307133822,70.000000000,1.000000000,364.000000000,275.000000000,643.000000000
initial,11842495200307133822,71.000000000,0.000000000,325.000000000,245.000000000,573.000000000
initial,11842495200307133822,72.000000000,0.000000000,258.000000000,256.000000000,517.000000000
initial,11842495200307133822,73.000000000,1.000000000,181.000000000,283.000000000,471.000000000
initial,11842495200307133822,74.000000000,0.000000000,190.000000000,235.000000000,427.000000000
initial,11842495200307133822,75.000000000,1.000000000,112.000000000,284.000000000,410.000000000
initial,11842495200307133822,76.000000000,4.000000000,157.000000000,216.000000000,387.000000000
initial,11842495200307133822,77.000000000,688.000000000,0.000000000,397.000000000,1156.000000000
initial,11842495200307133822,78.000000000,1378.000000000,1.000000000,590.000000000,2071.000000000
initial,11842495200307133822,79.000000000,1459.000000000,1.000000000,844.000000000,2401.000000000
initial,11842495200307133822,80.000000000,1170.000000000,1.000000000,1210.000000000,2510.000000000
initial,11842495200307133822,81.000000000,720.000000000,1.000000000,1679.000000000,2535.000000000
initial,11842495200307133822,82.000000000,246.000000000,7.000000000,2097.000000000,2475.000000000
initial,11842495200307133822,83.000000000,0.000000000,827.000000000,1624.000000000,2519.000000000
initial,11842495200307133822,84.000000000,0.000000000,1708.000000000,731.000000000,2478.000000000
initial,11842495200307133822,85.000000000,0.000000000,1801.000000000,422.000000000,2242.000000000
initial,11842495200307133822,86.000000000,0.000000000,1592.000000000,352.000000000,1956.000000000
initial,11842495200307133822,87.000000000,0.000000000,1415.000000000,260.000000000,1689.000000000
initial,11842495200307133822,88.000000000,0.000000000,1161.000000000,276.000000000,1444.000000000
initial,11842495200307133822,89.000000000,0.000000000,911.000000000,313.000000000,1231.000000000
initial,11842495200307133822,90.000000000,0.000000000,772.000000000,283.000000000,1062.000000000
initial,11842495200307133822,91.000000000,0.000000000,688.000000000,222.000000000,923.000000000
initial,11842495200307133822,92.000000000,0.000000000,579.000000000,219.000000000,798.000000000
initial,11842495200307133822,93.000000000,2.000000000,413.000000000,286.000000000,707.000000000
initial,11842495200307133822,94.000000000,0.000000000,372.000000000,248.000000000,626.000000000
initial,11842495200307133822,95.000000000,0.000000000,310.000000000,240.000000000,560.000000000
initial,11842495200307133822,96.000000000,0.000000000,242.000000000,245.000000000,488.000000000
initial,11842495200307133822,97.000000000,0.000000000,168.000000000,280.000000000,450.000000000
initial,11842495200307133822,98.000000000,0.000000000,222.000000000,182.000000000,406.000000000
initial,11842495200307133822,99.000000000,0.000000000,173.000000000,189.000000000,366.000000000
initial,11842495200307133822,100.000000000,0.000000000,187.000000000,139.000000000,328.000000000
initial,11842495200307133822,101.000000000,2.000000000,114.000000000,186.000000000,310.000000000
initial,11842495200307133822,102.000000000,399.000000000,3.000000000,307.000000000,759.000000000
initial,11842495200307133822,103.000000000,1267.000000000,0.000000000,459.000000000,1819.000000000
initial,11842495200307133822,104.000000000,1624.000000000,0.000000000,759.000000000,2491.000000000
initial,11842495200307133822,105.000000000,1315.000000000,0.000000000,1082.000000000,2515.000000000
initial,11842495200307133822,106.000000000,1084.000000000,1.000000000,1428.000000000,2648.000000000
initial,11842495200307133822,107.000000000,581.000000000,3.000000000,1824.000000000,2529.000000000
initial,11842495200307133822,108.000000000,0.000000000,152.000000000,2072.000000000,2319.000000000
initial,11842495200307133822,109.000000000,0.000000000,1464.000000000,904.000000000,2428.000000000
initial,11842495200307133822,110.000000000,0.000000000,1777.000000000,471.000000000,2297.000000000
initial,11842495200307133822,111.000000000,0.000000000,1794.000000000,274.000000000,2099.000000000
initial,11842495200307133822,112.000000000,0.000000000,1576.000000000,268.000000000,1862.000000000
initial,11842495200307133822,113.000000000,0.000000000,1329.000000000,284.000000000,1629.000000000
initial,11842495200307133822,114.000000000,0.000000000,1133.000000000,243.000000000,1385.000000000
initial,11842495200307133822,115.000000000,0.000000000,948.000000000,255.000000000,1214.000000000
initial,11842495200307133822,116.000000000,1.000000000,780.000000000,272.000000000,1059.000000000
initial,11842495200307133822,117.000000000,1.000000000,663.000000000,243.000000000,915.000000000
initial,11842495200307133822,118.000000000,0.000000000,583.000000000,208.000000000,794.000000000
initial,11842495200307133822,119.000000000,0.000000000,455.000000000,233.000000000,692.000000000
initial,11842495200307133822,120.000000000,0.000000000,389.000000000,232.000000000,628.000000000
initial,11842495200307133822,121.000000000,2.000000000,308.000000000,257.000000000,573.000000000
initial,11842495200307133822,122.000000000,0.000000000,169.000000000,346.000000000,522.000000000
initial,11842495200307133822,123.000000000,0.000000000,232.000000000,246.000000000,484.000000000
initial,11842495200307133822,124.000000000,1.000000000,152.000000000,305.000000000,463.000000000
initial,11842495200307133822,125.000000000,1.000000000,189.000000000,239.000000000,435.000000000
initial,11842495200307133822,126.000000000,0.000000000,150.000000000,257.000000000,416.000000000
initial,11842495200307133822,127.000000000,1.000000000,181.000000000,194.000000000,383.000000000
initial,11842495200307133822,128.000000000,528.000000000,1.000000000,373.000000000,974.000000000
initial,11842495200307133822,129.000000000,1193.000000000,0.000000000,526.000000000,1799.000000000
initial,11842495200307133822,130.000000000,1427.000000000,1.000000000,821.000000000,2382.000000000
initial,11842495200307133822,131.000000000,1227.000000000,0.000000000,1177.000000000,2513.000000000
initial,11842495200307133822,132.000000000,875.000000000,0.000000000,1534.000000000,2518.000000000
initial,11842495200307133822,133.000000000,367.000000000,5.000000000,1969.000000000,2470.000000000
initial,11842495200307133822,134.000000000,1.000000000,631.000000000,1698.000000000,2405.000000000
initial,11842495200307133822,135.000000000,0.000000000,1568.000000000,770.000000000,2385.000000000
initial,11842495200307133822,136.000000000,1.000000000,1714.000000000,444.000000000,2190.000000000
initial,11842495200307133822,137.000000000,0.000000000,1602.000000000,302.000000000,1918.000000000
initial,11842495200307133822,138.000000000,0.000000000,1411.000000000,229.000000000,1654.000000000
initial,11842495200307133822,139.000000000,0.000000000,1182.000000000,251.000000000,1442.000000000
initial,11842495200307133822,140.000000000,0.000000000,1010.000000000,218.000000000,1238.000000000
initial,11842495200307133822,141.000000000,0.000000000,803.000000000,241.000000000,1051.000000000
initial,11842495200307133822,142.000000000,0.000000000,644.000000000,255.000000000,902.000000000
initial,11842495200307133822,143.000000000,2.000000000,529.000000000,255.000000000,791.000000000
initial,11842495200307133822,144.000000000,0.000000000,429.000000000,271.000000000,705.000000000
initial,11842495200307133822,145.000000000,0.000000000,413.000000000,200.000000000,619.000000000
initial,11842495200307133822,146.000000000,0.000000000,224.000000000,317.000000000,550.000000000
initial,11842495200307133822,147.000000000,0.000000000,186.000000000,310.000000000,504.000000000
initial,11842495200307133822,148.000000000,1.000000000,176.000000000,290.000000000,471.000000000
initial,11842495200307133822,149.000000000,2.000000000,129.000000000,288.000000000,427.000000000
initial,11842495200307133822,150.000000000,2.000000000,119.000000000,268.000000000,397.000000000
initial,11842495200307133822,151.000000000,494.000000000,1.000000000,397.000000000,948.000000000
initial,11842495200307133822,152.000000000,1212.000000000,0.000000000,555.000000000,1843.000000000
initial,11842495200307133822,153.000000000,1205.000000000,1.000000000,820.000000000,2142.000000000
initial,11842495200307133822,154.000000000,1068.000000000,0.000000000,1226.000000000,2430.000000000
initial,11842495200307133822,155.000000000,517.000000000,1.000000000,1636.000000000,2259.000000000
initial,11842495200307133822,156.000000000,181.000000000,8.000000000,2018.000000000,2329.000000000
initial,11842495200307133822,157.000000000,0.000000000,1100.000000000,1178.000000000,2338.000000000
initial,11842495200307133822,158.000000000,0.000000000,1637.000000000,556.000000000,2232.000000000
initial,11842495200307133822,159.000000000,0.000000000,1576.000000000,412.000000000,2015.000000000
initial,11842495200307133822,160.000000000,0.000000000,1391.000000000,365.000000000,1771.000000000
initial,11842495200307133822,161.000000000,0.000000000,1252.000000000,256.000000000,1524.000000000
initial,11842495200307133822,162.000000000,0.000000000,1027.000000000,288.000000000,1327.000000000
initial,11842495200307133822,163.000000000,0.000000000,929.000000000,211.000000000,1144.000000000
initial,11842495200307133822,164.000000000,0.000000000,766.000000000,228.000000000,1008.000000000
initial,11842495200307133822,165.000000000,0.000000000,611.000000000,256.000000000,873.000000000
initial,11842495200307133822,166.000000000,0.000000000,521.000000000,244.000000000,769.000000000
initial,11842495200307133822,167.000000000,0.000000000,459.000000000,207.000000000,671.000000000
initial,11842495200307133822,168.000000000,0.000000000,404.000000000,194.000000000,605.000000000
initial,11842495200307133822,169.000000000,0.000000000,338.000000000,195.000000000,542.000000000
initial,11842495200307133822,170.000000000,1.000000000,189.000000000,290.000000000,483.000000000
initial,11842495200307133822,171.000000000,1.000000000,170.000000000,272.000000000,454.000000000
initial,11842495200307133822,172.000000000,5.000000000,145.000000000,265.000000000,426.000000000
initial,11842495200307133822,173.000000000,0.000000000,127.000000000,251.000000000,386.000000000
initial,11842495200307133822,174.000000000,4.000000000,89.000000000,263.000000000,363.000000000
initial,11842495200307133822,175.000000000,3.000000000,96.000000000,241.000000000,346.000000000
initial,11842495200307133822,176.000000000,0.000000000,55.000000000,268.000000000,328.000000000
initial,11842495200307133822,177.000000000,614.000000000,0.000000000,334.000000000,1005.000000000
initial,11842495200307133822,178.000000000,1399.000000000,0.000000000,504.000000000,1978.000000000
initial,11842495200307133822,179.000000000,1350.000000000,0.000000000,765.000000000,2228.000000000
initial,11842495200307133822,180.000000000,1280.000000000,1.000000000,1140.000000000,2554.000000000
initial,11842495200307133822,181.000000000,663.000000000,0.000000000,1573.000000000,2362.000000000
initial,11842495200307133822,182.000000000,21.000000000,56.000000000,1949.000000000,2154.000000000
initial,11842495200307133822,183.000000000,0.000000000,1203.000000000,1024.000000000,2284.000000000
initial,11842495200307133822,184.000000000,0.000000000,1667.000000000,518.000000000,2230.000000000
initial,11842495200307133822,185.000000000,0.000000000,1688.000000000,288.000000000,2002.000000000
initial,11842495200307133822,186.000000000,0.000000000,1497.000000000,231.000000000,1741.000000000
initial,11842495200307133822,187.000000000,0.000000000,1283.000000000,211.000000000,1503.000000000
initial,11842495200307133822,188.000000000,0.000000000,1006.000000000,280.000000000,1295.000000000
initial,11842495200307133822,189.000000000,0.000000000,845.000000000,264.000000000,1115.000000000
initial,11842495200307133822,190.000000000,0.000000000,711.000000000,252.000000000,971.000000000
initial,11842495200307133822,191.000000000,1.000000000,610.000000000,227.000000000,843.000000000
initial,11842495200307133822,192.000000000,1.000000000,551.000000000,173.000000000,729.000000000
optimized,11842495200307133822,65.000000000,1.000000000,135.000000000,82.000000000,220.000000000
optimized,11842495200307133822,66.000000000,1.000000000,75.000000000,101.000000000,178.000000000
optimized,11842495200307133822,67.000000000,2.000000000,51.000000000,103.000000000,157.000000000
optimized,11842495200307133822,68.000000000,3.000000000,28.000000000,110.000000000,144.000000000
optimized,11842495200307133822,69.000000000,238.000000000,2.000000000,132.000000000,390.000000000
optimized,11842495200307133822,70.000000000,295.000000000,0.000000000,172.000000000,492.000000000
optimized,11842495200307133822,71.000000000,359.000000000,1.000000000,208.000000000,600.000000000
optimized,11842495200307133822,72.000000000,418.000000000,0.000000000,254.000000000,701.000000000
optimized,11842495200307133822,73.000000000,385.000000000,1.000000000,323.000000000,753.000000000
optimized,11842495200307133822,74.000000000,290.000000000,0.000000000,423.000000000,758.000000000
optimized,11842495200307133822,75.000000000,240.000000000,2.000000000,502.000000000,787.000000000
optimized,11842495200307133822,76.000000000,168.000000000,1.000000000,571.000000000,774.000000000
optimized,11842495200307133822,77.000000000,149.000000000,4.000000000,635.000000000,831.000000000
optimized,11842495200307133822,78.000000000,20.000000000,15.000000000,694.000000000,761.000000000
